Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
URŠLJA GORA,,	2016-07-07,,Operational,Operational,Land (fixed),0-705-0-724|primary,Europe,,Slovenia,46.48493,14.96336,1696,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
VEDRIJAN,,	2015-07-22,,Operational,Operational,Land (fixed),0-705-0-1933|primary,Europe,,Slovenia,46.01312,13.54105,232,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
VELENJE,,	2014-07-17,,Operational,Partly operational,Land (fixed),0-705-0-1878|primary,Europe,,Slovenia,46.36032,15.11189,388,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
VELIKE LAŠČE,,	2015-11-11,,Operational,Operational,Land (fixed),0-705-0-1712|primary,Europe,,Slovenia,45.831,14.64273,528,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
VOGEL,,	1993-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14006|primary,Europe,,Slovenia,46.2635473161,13.8408914626,1535,,,Slovenian Environment Agency (ARSO),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2021-02-16,Vesna Vidmar
VOGEL,,	2016-08-24,,Operational,Operational,Land (fixed),0-705-0-1773|primary,Europe,,Slovenia,46.25944,13.83962,1515,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
VOJSKO,,	1993-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14009|primary,Europe,,Slovenia,46.0249596201,13.9031141269,1067,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-08-04,Miha DEMSAR
VRHNIKA,,	2015-12-16,,Operational,Operational,Land (fixed),0-705-0-1877|primary,Europe,,Slovenia,45.96601,14.27169,370,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
VRŠIČ,,	2016-06-27,,Operational,Partly operational,Land (fixed),0-705-0-1932|primary,Europe,,Slovenia,46.4328,13.74776,1684,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ZADLOG,,	2014-01-13,,Operational,Partly operational,Land (fixed),0-705-0-1876|primary,Europe,,Slovenia,45.93948,14.00234,716,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ZELENICA,,	2016-07-07,,Operational,Partly operational,Land (fixed),0-705-0-1721|primary,Europe,,Slovenia,46.42891,14.23305,1534,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ZGORNJA KAPLA,,	2015-07-22,,Operational,Operational,Land (fixed),0-705-0-1916|primary,Europe,,Slovenia,46.6434,15.3501,722,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ZGORNJA RADOVNA,,	2015-10-01,,Operational,Partly operational,Land (fixed),0-705-0-1868|primary,Europe,,Slovenia,46.42405,13.93518,777,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ZGORNJA SORICA,,	2014-01-13,,Operational,Partly operational,Land (fixed),0-705-0-1879|primary,Europe,,Slovenia,46.22205,14.02857,846,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ŠEBRELJSKI VRH,,	2015-01-27,,Operational,Operational,Land (fixed),0-705-0-1880|primary,Europe,,Slovenia,46.06288,13.91127,1066,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ŠMARTNO PRI SLOVENJ GRADCU,,	1994-05-17,,Operational,Partly operational,Land (fixed),0-705-0-827|primary,Europe,,Slovenia,46.48956,15.11123,444,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,20|440,GOS General:Operational,	2021-04-13,SVN NMHS
