Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
Pogány,,	2004-03-31,	2021-08-03,Closed,Unknown,Land (fixed),"0-348-1-39113|primary,0-20000-0-12942",Europe,,Hungary,45.995,18.235,199.2,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT(21-03);CLIMAT(C);EVAP;GSN;METAR;RADSAMP;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radioactive sampling; Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Closed, GSN:Closed, RBCN - deprecated:Closed, RBON:Closed, RBSN(S) - deprecated:Closed",	2022-05-17,Imre Szöllősi
Pogány repülőtér,,	2021-07-01,,Operational,Operational,Land (fixed),0-348-1-39115|primary,Europe,,Hungary,45.995,18.235,196,,,,,,,,,,,,"GBON:Operational, GSN:Operational, RBON:Operational",	2024-07-01,Imre Szöllősi
Pogány repülőtér (észak),,	2021-07-01,,Operational,Operational,Land (fixed),0-348-1-39116|primary,Europe,,Hungary,45.9925,18.23861,196.1,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Poroszló,,	2014-05-21,,Operational,Operational,Land (fixed),"0-348-1-54309|primary,0-20000-0-12866",Europe,,Hungary,47.656111,20.653611,90.7,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2021-12-15,Imre Szöllősi
Pápa repülőtér,,	2011-09-05,,Operational,Operational,Land (fixed),"0-348-1-24709|primary,0-20000-0-12824",Europe,,Hungary,47.356944,17.503611,144.4,,UTC+1,HungaroMet Hungarian Meteorological Service,http://www.jcommops.org/board/wa/Platform?ref=4800400,http://www.pmel.noaa.gov/stnP/data.html,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of low altitude,,"GBON:Operational, GOS General:Operational",	2024-05-09,Imre Szöllősi
Pápa repülőtér (észak),,	2011-06-10,,Operational,Operational,Land (fixed),0-348-1-24607|primary,Europe,,Hungary,47.37056,17.49639,143.5,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Pécs Egyetem,,	2010-02-01,,Operational,Unknown,Land (fixed),0-348-1-38528|primary,Europe,,Hungary,46.07778,18.20722,174,,,,,,,,,,,,GBON:Operational,	2024-05-10,Imre Szöllősi
Pécs Árpádtető,,	1997-11-30,,Operational,Operational,Land (fixed),0-348-1-38605|primary,Europe,,Hungary,46.13472,18.25222,394.7,,,,,,,,,,,104|430,GOS General:Operational,	2021-12-06,HUN NMHS
Pér repülőtér,,	2014-06-27,,Operational,Unknown,Land (fixed),"0-348-1-24423|primary,0-20000-0-12821",Europe,,Hungary,47.62444,17.81194,128.1,,,,,,,,,,,,GBON:Operational,	2024-04-30,Lucia Cappelletti
Pér repülőtér (észak),,	2014-07-02,,Operational,Operational,Land (fixed),0-348-1-24424|primary,Europe,,Hungary,47.63083,17.79556,128.1,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Püspökszilágy,,	2006-07-28,,Operational,Unknown,Land (fixed),0-348-1-43617|primary,Europe,,Hungary,47.72972,19.31,238.2,,,,,,,,,,,,GBON:Operational,	2022-09-13,Imre Szöllősi
Sellye,,	1998-02-04,,Operational,Unknown,Land (fixed),0-348-1-29403|primary,Europe,,Hungary,45.8675,17.85111,99.4,,,,,,,,,,,6|220,GOS General:Operational,	2024-05-02,Imre Szöllősi
Siófok,,	1953-10-01,,Operational,Operational,Land (fixed),"0-348-1-36100|primary,0-20000-0-12935",Europe,,Hungary,46.910833,18.040833,107.2,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;RADSAMP;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radioactive sampling.,,,,,,"GBON:Operational, GOS General:Operational",	2024-05-09,Imre Szöllősi
Siófok kikötő,,	2021-03-31,,Operational,Operational,Land (fixed),0-348-1-36115|primary,Europe,,Hungary,46.91222,18.0425,101,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Soltvadkert,,	1997-10-20,	2020-10-07,Closed,Unknown,Land (fixed),0-348-1-47200|primary,Europe,,Hungary,46.59083,19.34139,108.2,,,,,,,,,,,15|250,GOS General:Closed,	2022-05-17,Imre Szöllősi
Sopron Kuruc-domb,,	1974-04-25,,Operational,Operational,Land (fixed),0-348-1-13704|primary,Europe,,Hungary,47.678333,16.602222,232.8,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAMMA RAY;SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Total radiation measurements.,,,,,,GOS General:Operational,	2024-06-13,Imre Szöllősi
Sopronhorpács,,	2014-05-19,,Operational,Operational,Land (fixed),0-348-1-14707|primary,Europe,,Hungary,47.48056,16.72917,198.7,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Szarvas,,	2020-01-29,,Operational,Operational,Land (fixed),0-348-1-56312|primary,Europe,,Hungary,46.86972,20.5275,85,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,,"GBON:Operational, GOS General:Operational",	2022-09-13,Imre Szöllősi
Szeged belterület,,	1997-12-08,,Operational,Operational,Land (fixed),0-348-1-58102|primary,Europe,,Hungary,46.24722,20.14056,103.9,,,,,,,,,,,79|470,GOS General:Operational,	2021-12-06,HUN NMHS
Szeged külterület,,	2019-11-30,,Operational,Operational,Land (fixed),"0-348-1-58116|primary,0-20000-0-12982",Europe,,Hungary,46.2561111,20.0905556,81,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GAMMA RAY;METAR;RADSAMP;RBCN;RBSN(ST);SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling; Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-05-10,Imre Szöllősi
Szentes repülőtér,,	1999-04-18,,Operational,Operational,Land (fixed),0-348-1-57202|primary,Europe,,Hungary,46.613055,20.286111,79.3,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,,"GBON:Operational, GOS General:Operational",	2022-09-13,Imre Szöllősi
Szentgotthárd Farkasfa,,	1982-02-01,,Operational,Operational,Land (fixed),"0-348-1-16204|primary,0-20000-0-12910",Europe,,Hungary,46.910278,16.309444,310.7,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAMMA RAY;RAREP;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements.,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of low altitude,,GOS General:Operational,	2023-01-18,Imre Szöllősi
Szentkirályszabadja repülőtér,,	2005-03-25,,Operational,Operational,Land (fixed),"0-348-1-25820|primary,0-20000-0-12830",Europe,,Hungary,47.0827778,17.9705556,280.5,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,,"GBON:Operational, GOS General:Operational",	2022-09-13,Imre Szöllősi
Szikszó Vízmű,,	2021-08-11,,Operational,Operational,Land (fixed),0-348-1-52409|primary,Europe,,Hungary,48.20778,20.95139,120,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Szolnok repülőtér,,	2011-09-05,,Operational,Operational,Land (fixed),"0-348-1-55507|primary,0-20000-0-12860",Europe,,Hungary,47.117222,20.231111,88.8,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,,"GBON:Operational, GOS General:Operational",	2024-05-10,Imre Szöllősi
Szolnok repülőtér (észak),,	2011-07-06,,Operational,Operational,Land (fixed),0-348-1-55508|primary,Europe,,Hungary,47.12972,20.23806,87.8,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Szombathely,,	2002-02-27,,Operational,Operational,Land (fixed),"0-348-1-15310|primary,0-20000-0-12812",Europe,,Hungary,47.1983333,16.6477778,200.1,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT(21-03);CLIMAT(C);EVAP;METAR;RADSAMP;SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radioactive sampling; Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),"Open (Open flat terrain; grass, few isolated obstacles)",(unknown) at low relative elevation within rises of low altitude,110|350,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBON:Operational",	2024-05-09,Imre Szöllősi
Szécsény,,	1996-05-28,,Operational,Unknown,Land (fixed),"0-348-1-42708|primary,0-20000-0-12756",Europe,,Hungary,48.106667,19.515556,152,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GBON:Operational,	2022-09-13,Imre Szöllősi
Székesfehérvár,,	2000-12-13,,Operational,Operational,Land (fixed),0-348-1-35605|primary,Europe,,Hungary,47.16528,18.4325,112.3,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Sárbogárd,,	1999-06-08,,Operational,Operational,Land (fixed),0-348-1-36301|primary,Europe,,Hungary,46.88333,18.60972,103.9,,,,,,,,,,,11|410,GOS General:Operational,	2021-12-06,HUN NMHS
Sárkeresztúr,,	2014-06-20,,Operational,Operational,Land (fixed),0-348-1-36308|primary,Europe,,Hungary,46.99528,18.52472,100.4,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Sármellék repülőtér,,	2016-12-13,,Operational,Unknown,Land (fixed),"0-348-1-26514|primary,0-20000-0-12922",Europe,,Hungary,46.694167,17.1575,122,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GBON:Operational,	2022-09-13,Imre Szöllősi
Sármellék repülőtér (dél),,	2016-12-13,,Operational,Operational,Land (fixed),0-348-1-26515|primary,Europe,,Hungary,46.67889,17.16333,122,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Sárospatak Malomkőgyár,,	2017-08-29,,Operational,Operational,Land (fixed),0-348-1-61700|primary,Europe,,Hungary,48.33694,21.57083,119,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Sátorhely,,	1998-05-27,,Operational,Unknown,Land (fixed),0-348-1-39307|primary,Europe,,Hungary,45.93583,18.63222,93,,,,,,,,,,,15|400,GOS General:Operational,	2024-05-02,HUN NMHS
Söjtör,,	2014-05-27,,Operational,Operational,Land (fixed),0-348-1-17419|primary,Europe,,Hungary,46.65111,16.84083,204.4,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Sülysáp Sűrűpuszta,,	2014-06-13,,Operational,Operational,Land (fixed),0-348-1-44710|primary,Europe,,Hungary,47.43194,19.53667,180,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Sümeg,,	1997-12-17,,Operational,Operational,Land (fixed),0-348-1-26212|primary,Europe,,Hungary,46.96417,17.29167,193.8,,,,,,,,,,,12|300,GOS General:Operational,	2021-12-06,HUN NMHS
Tarcal,,	2000-11-28,,Operational,Operational,Land (fixed),0-348-1-62612|primary,Europe,,Hungary,48.145,21.33444,123.8,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Tass Vízmű,,	1997-09-25,,Operational,Operational,Land (fixed),0-348-1-35800|primary,Europe,,Hungary,47.02139,18.98528,97.9,,,,,,,,,,,23|610,GOS General:Operational,	2021-12-06,HUN NMHS
Taszár,,	1997-01-01,	2005-10-19,Closed,Unknown,Land (fixed),"0-348-1-27813|primary,0-20000-0-12932",Europe,,Hungary,46.4,17.9166666667,156,,,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-12-21,Imre Szöllősi
Tata,,	2015-09-08,,Operational,Unknown,Land (fixed),"0-348-1-34234|primary,0-20000-0-12836",Europe,,Hungary,47.650278,18.3075,123,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of low altitude,,GBON:Operational,	2022-09-13,Imre Szöllősi
Tevel,,	1998-09-19,,Operational,Operational,Land (fixed),0-348-1-37613|primary,Europe,,Hungary,46.43111,18.45472,215.6,,,,,,,,,,,7|390,GOS General:Operational,	2021-12-06,HUN NMHS
Tiszacsege,,	2021-08-18,,Operational,Partly operational,Land (fixed),0-348-1-53811|primary,Europe,,Hungary,47.67833,20.98778,93,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Tiszacsermely,,	2021-08-25,,Operational,Operational,Land (fixed),0-348-1-62414|primary,Europe,,Hungary,48.235,21.79944,100,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Tiszavasvári külterület,,	2021-06-10,,Operational,Operational,Land (fixed),0-348-1-63210|primary,Europe,,Hungary,47.97139,21.48028,95,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Tiszaújváros,,	2005-11-04,,Operational,Operational,Land (fixed),0-348-1-63101|primary,Europe,,Hungary,47.93111,21.05389,93.7,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Tát Vízmű,,	1999-05-31,,Operational,Unknown,Land (fixed),"0-348-1-33720|primary,0-20000-0-12847",Europe,,Hungary,47.756389,18.606111,109.4,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of low altitude,,GBON:Operational,	2022-09-13,Imre Szöllősi
Tés,,	1999-04-28,,Operational,Operational,Land (fixed),0-348-1-35116|primary,Europe,,Hungary,47.26222,18.03222,471.4,,,,,,,,,,,9|410,GOS General:Operational,	2021-12-06,HUN NMHS
Tésa Vízmű,,	1999-05-31,,Operational,Operational,Land (fixed),0-348-1-32805|primary,Europe,,Hungary,48.02694,18.82556,118.2,,,,,,,,,,,5|400,GOS General:Operational,	2021-12-06,HUN NMHS
Tököl,,	1992-01-01,	2001-05-01,Closed,Unknown,Land (fixed),"0-348-1-34806|primary,0-20000-0-12844",Europe,,Hungary,47.35,18.9833333333,103,,,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-12-20,Imre Szöllősi
Törökszentmiklós,,	2005-11-04,,Operational,Operational,Land (fixed),0-348-1-55211|primary,Europe,,Hungary,47.18361,20.46944,86.3,,,,,,,,,,,,GOS General:Operational,	2024-07-26,Imre Szöllősi
Túrkeve,,	2014-05-28,,Operational,Operational,Land (fixed),0-348-1-55808|primary,Europe,,Hungary,47.09556,20.75167,83.2,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Vasvár,,	2018-03-28,,Operational,Operational,Land (fixed),0-348-1-15811|primary,Europe,,Hungary,47.05111,16.81194,227,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Vásárosnamény,,	2020-02-05,,Operational,Operational,Land (fixed),0-348-1-72618|primary,Europe,,Hungary,48.125,22.298056,109,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of low altitude,,"GBON:Operational, GOS General:Operational",	2022-09-13,Imre Szöllősi
Zabar,,	1998-12-31,,Operational,Operational,Land (fixed),0-348-1-52523|primary,Europe,,Hungary,48.14139,20.05583,224.6,,,,,,,,,,,6|440,GOS General:Operational,	2021-12-06,HUN NMHS
Zalaegerszeg Andráshida,,	1993-01-01,	1999-04-22,Closed,Unknown,Land (fixed),0-348-1-16403|primary,Europe,,Hungary,46.8666666667,16.8,179.5,,,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SPECI;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Total radiation measurements.,,,,,,GOS General:Closed,	2024-04-30,Lucia Cappelletti
Záhony,,	1996-07-26,,Operational,Operational,Land (fixed),"0-348-1-71505|primary,0-20000-0-12786",Europe,,Hungary,48.398611,22.1775,103.5,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of low altitude,,GOS General:Operational,	2021-12-21,Imre Szöllősi
Újfehértó,,	1999-04-28,,Operational,Operational,Land (fixed),0-348-1-63707|primary,Europe,,Hungary,47.82167,21.67139,124.7,,,,,,,,,,,28|630,GOS General:Operational,	2021-12-06,HUN NMHS
