Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
HARTBERG,,	1994-08-01,,Operational,Operational,Land (fixed),0-20000-0-11390|primary,Europe,,Austria,47.280555725,15.9786109924,330,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of middle altitude,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
HIRSCHENKOGEL,,	1994-08-01,,Operational,Operational,Land (fixed),0-20000-0-11384|primary,Europe,,Austria,47.6233329772,15.8333330154,1318,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
HOCHFILZEN,,	2007-12-01,,Operational,Unknown,Land (fixed),0-20000-0-11339|primary,Europe,,Austria,47.4702777778,12.6211111111,961.9,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2020-02-04,Silke Adler
HOHE WAND/HOCHKOGELHAUS,,	1993-08-01,,Operational,Operational,Land (fixed),0-20000-0-11385|primary,Europe,,Austria,47.8222236633,16.0349998474,936.9,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
HOLZGAU,,	1936-01-01,,Operational,Silent,Land (fixed),0-20000-0-11315|primary,Europe,,Austria,47.2574996948,10.3386106491,1092,(unknown),UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Polar - Tundra,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within mountains of high altitude,6|250,GOS General:Operational,	2021-10-05,Silke Adler
INNSBRUCK-FLUGHAFEN,,	1951-06-01,,Operational,Operational,Land (fixed),0-20000-0-11120|primary,Europe,,Austria,47.2602777778,11.3438888889,581,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;OBS. RW IRREG.;RBCN;RBSN(S);SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Closed, RBSN(S) - deprecated:Closed",	2023-04-13,Silke Adler
INNSBRUCK-FLUGHAFEN (GeoSphere Austria),,	1992-07-01,,Operational,Operational,Land (fixed),0-20000-0-11121|primary,Europe,,Austria,47.26,11.3566666667,578,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Operational, GBON:Operational, GOS General:Operational, RBON:Operational",	2023-04-13,Silke Adler
ISCHGL/IDALPE,,	1984-09-01,,Operational,Operational,Land (fixed),0-20000-0-11310|primary,Europe,,Austria,46.9825,10.3172222222,2327,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-04-26,AUT NMHS
Illmitz,,	1978-01-01,,Operational,Unknown,Land (fixed),0-20008-0-ILL|primary,Europe,,Austria,47.7666664124,16.7666664124,117,,UTC+1,,http://www.umweltbundesamt.at,,"Flat terrain. Agriculture. 40 km to Bratislava, 60 km to Wien",Warm Temperate - Fully humid - Cool summer,,,,,EMEP:Operational,	2020-04-30,Silke Adler
JAUERLING,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-11024|primary,Europe,,Austria,48.3344444444,15.3391666667,955,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;M;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-30,Silke Adler
JENBACH,,	1994-07-01,,Operational,Operational,Land (fixed),0-20000-0-11325|primary,Europe,,Austria,47.3888893127,11.758055687,530,(unknown),,"GeoSphere Austria - Bundesanstalt für Geologie, Geophysik, Klimatologie und Meteorologie",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-04-18,Silke Adler
Jamtalferner,,	2013-10-14,,Operational,Unknown,Land (fixed),0-40-0-197091|primary,Europe,,Austria,46.88704269,10.17542524,2141,,UTC+1,,,,"The Jamtalferner glacier is amongst the longest mass balance time series in Austria, and the records are complemented by more than 100 years of glacier fluctuations records and the availability of early maps. Additional research is carried out under the umbrella of the environmental education institution Jamtalferner, e.g. investigating periglacial succession. This site is also a LTER/LTSER site.",,,,,,GCW CryoNet station:Operational,	2020-06-23,Andrea Fischer
KALWANG,,	1994-04-01,,Operational,Operational,Land (fixed),0-20000-0-11362|primary,Europe,,Austria,47.4213905334,14.759721756,744,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
KAPFENBERG,,	1997-03-01,	2018-05-25,Closed,Unknown,Land (fixed),0-20000-0-11370|primary,Europe,,Austria,47.4458351135,15.298333168,504.7,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;METAR;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-10-05,Silke Adler
KAPFENBERG-Flugfeld,,	2018-05-24,,Operational,Operational,Land (fixed),0-20000-0-11176|primary,Europe,,Austria,47.458333,15.335556,515,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;METAR;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2020-04-22,Silke Adler
KATSCHBERG,,	1998-10-29,,Operational,Operational,Land (fixed),0-20000-0-11349|primary,Europe,,Austria,47.0605545043,13.6147222518,1635,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Cool summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
KITZBUEHEL,,	1936-01-01,	2019-12-01,Closed,Unknown,Land (fixed),0-20000-0-11336|primary,Europe,,Austria,47.4425,12.3963888889,757,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2023-04-18,Silke Adler
KITZBUEHEL,,	2014-11-01,,Operational,Unknown,Land (fixed),0-40-0-11279|primary,Europe,,Austria,47.44388961,12.38916683,772,,UTC+1,"GeoSphere Austria - Bundesanstalt für Geologie, Geophysik, Klimatologie und Meteorologie",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Cool summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Operational,	2023-04-18,Silke Adler
KLAGENFURT-FLUGHAFEN,,	1996-09-01,,Operational,Operational,Land (fixed),0-20000-0-11231|primary,Europe,,Austria,46.6427777778,14.3372222222,448,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Closed, RBSN(S) - deprecated:Closed",	2023-04-13,Silke Adler
KLAGENFURT-FLUGHAFEN (GeoSphere Austria),,	2002-07-01,,Operational,Operational,Land (fixed),0-20000-0-11331|primary,Europe,,Austria,46.6483333333,14.3183333333,450,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Operational, GBON:Operational, GOS General:Operational, RBON:Operational",	2023-04-13,Silke Adler
KLEINZICKEN,,	1978-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-11192|primary,Europe,,Austria,47.2075,16.3355555556,265.4,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
KOETSCHACH-MAUTHEN,,	1990-09-10,,Operational,Operational,Land (fixed),0-20000-0-11255|primary,Europe,,Austria,46.677222,12.997222,722,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-04-26,AUT NMHS
KOHLREITHBERG,,	2002-06-10,	2010-06-23,Closed,Unknown,Land (fixed),0-20000-0-11031|primary,Europe,,Austria,48.1758333333,15.9352777778,490,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2020-02-17,Silke Adler
KREMS,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-11070|primary,Europe,,Austria,48.4186096191,15.6222219467,202,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
KREMSMUENSTER,,	1763-01-01,,Operational,Operational,Land (fixed),0-20000-0-11012|primary,Europe,,Austria,48.055,14.1311111111,382,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);GSN;RBCN;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, Centennial Observing Stations:Operational, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational",	2021-04-26,AUT NMHS
KRIMML,,	1891-01-01,,Operational,Operational,Land (fixed),0-20000-0-11136|primary,Europe,,Austria,47.2291679382,12.1819448471,1009,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
KRUMBACH I. D. BUCKLIGEN WELT,,,,Operational,Operational,Land (fixed),0-20000-0-11386|primary,Europe,,Austria,47.5280555556,16.1866666667,545.2,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-04-26,AUT NMHS
KUFSTEIN,,	1905-01-01,,Operational,Operational,Land (fixed),0-20000-0-11130|primary,Europe,,Austria,47.5752792358,12.1627779007,490,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;METAR;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"Ceilometers:Operational, GBON:Operational, GOS General:Operational",	2022-06-27,Silke Adler
Kleinfleißkees,,	2011-01-01,	2020-08-31,Closed,Unknown,Land (fixed),0-40-0-AWSFlk1|primary,Europe,,Austria,47.0535,12.9437,2849,,UTC+1,"GeoSphere Austria - Bundesanstalt für Geologie, Geophysik, Klimatologie und Meteorologie",http://glacio-live.at/glacier/flk,,"The AWS Kleinfleißkees is located in the ablation area of Kleinfleißkees, a small glacier in the Austrian Alps. The station has been operated by Geosphere Austria from 2011 to 2020 and was part of a distributed mass balance observation network. The AWS Kleinfleißkees was a CryoNet station and part of to the GCW Sonnblick Integrated Site.",Polar - Tundra,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within mountains of high altitude,,GCW CryoNet station:Closed,	2023-07-10,Marion Greilinger
LANDECK,,	1946-02-01,,Operational,Operational,Land (fixed),0-20000-0-11112|primary,Europe,,Austria,47.1402778625,10.5636110306,796,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
LANGEN/ARLBERG,,	2007-08-01,,Operational,Silent,Land (fixed),0-20000-0-11307|primary,Europe,,Austria,47.1316680908,10.1233329772,1221,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Polar - Tundra,Closed (>40%) needleleaved evergreen forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Operational,	2021-10-05,Silke Adler
LANGENLOIS,,	1989-11-01,,Operational,Operational,Land (fixed),0-20000-0-11075|primary,Europe,,Austria,48.4725,15.697222,207,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-30,Silke Adler
LASSNITZHOEHE,,	1990-02-01,,Operational,Operational,Land (fixed),0-20000-0-11292|primary,Europe,,Austria,47.0736122131,15.5922222137,530,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
LEIBNITZ,,	2003-11-01,,Operational,Operational,Land (fixed),0-20000-0-11296|primary,Europe,,Austria,46.7675018311,15.552778244,268,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
LEISER BERGE,,	1998-04-01,,Operational,Operational,Land (fixed),0-20000-0-11083|primary,Europe,,Austria,48.5588874817,16.3716659546,457,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
LEOBEN,,	2012-12-01,,Operational,Operational,Land (fixed),0-20000-0-11274|primary,Europe,,Austria,47.3783333,15.0866667,544,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2020-04-22,Silke Adler
LIENZ,,	1880-01-01,,Operational,Operational,Land (fixed),0-20000-0-11204|primary,Europe,,Austria,46.825553894,12.806388855,661.4,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
LILIENFELD/TARSCHBERG,,	1992-08-01,,Operational,Operational,Land (fixed),0-20000-0-11078|primary,Europe,,Austria,48.0280555556,15.5875,696,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-30,Silke Adler
LINZ-STADT,,	1992-07-01,,Operational,Operational,Land (fixed),0-20000-0-11060|primary,Europe,,Austria,48.2963905334,14.2852773666,262,(unknown),UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Total radiation measurements.,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of middle altitude,,"GBON:Operational, GOS General:Operational",	2023-12-13,Silke Adler
LINZ/HOERSCHING-FLUGHAFEN,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-11010|primary,Europe,,Austria,48.2352777778,14.1880555556,298,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;OBS. RW IRREG.;RBSN(S);SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2020-02-24,Gregor Mitternast
LITSCHAU,,	1962-07-01,,Operational,Operational,Land (fixed),0-20000-0-11021|primary,Europe,,Austria,48.9547233582,15.0383329391,558,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
LOFER,,	1990-06-01,,Operational,Operational,Land (fixed),0-20000-0-11140|primary,Europe,,Austria,47.5844459534,12.6952781677,622,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
LOFERER ALM,,	1994-11-01,,Operational,Operational,Land (fixed),0-20000-0-11337|primary,Europe,,Austria,47.597778,12.646111,1619,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Cool summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2021-04-26,AUT NMHS
LUNZ,,	1994-09-01,,Operational,Operational,Land (fixed),0-20000-0-11170|primary,Europe,,Austria,47.8544425964,15.0675001144,612,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of middle altitude,,"GBON:Operational, GOS General:Operational",	2021-10-01,Silke Adler
LUTZMANNSBURG,,	1995-11-01,,Operational,Operational,Land (fixed),0-20000-0-11393|primary,Europe,,Austria,47.4652786255,16.6455554962,201,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
MALLNITZ-BAD,,	1895-10-01,,Operational,Operational,Land (fixed),0-20000-0-11260|primary,Europe,,Austria,46.9919433594,13.1666669846,1197,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
MARIA ALM,,	2002-06-24,	2020-09-24,Closed,Unknown,Land (fixed),0-20000-0-11137|primary,Europe,,Austria,47.4061111111,12.8983333333,792,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-04-26,AUT NMHS
MARIAPFARR,,	1960-01-01,,Operational,Operational,Land (fixed),0-20000-0-11348|primary,Europe,,Austria,47.1522222222,13.745,1151,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-04-26,AUT NMHS
MARIAZELL/ST SEBASTIAN,,,,Operational,Operational,Land (fixed),0-20000-0-11171|primary,Europe,,Austria,47.7891654968,15.3022222519,864,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
MATTSEE,,	1971-08-01,,Operational,Operational,Land (fixed),0-20000-0-11152|primary,Europe,,Austria,47.9772224426,13.1055555344,502,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
MAYRHOFEN,,	2007-09-01,,Operational,Operational,Land (fixed),0-20000-0-11330|primary,Europe,,Austria,47.1624984741,11.8516664505,640,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
MILLSTATT,,	1972-11-01,,Operational,Unknown,Land (fixed),0-20000-0-11215|primary,Europe,,Austria,46.8080558777,13.5727777481,721,(unknown),UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,GOS General:Operational,	2021-09-28,AUT NMHS
MISTELBACH,,	2004-07-01,,Operational,Operational,Land (fixed),0-20000-0-11332|primary,Europe,,Austria,48.5708333333,16.6094444444,191,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2017-11-07,Silke Adler
MOENICHKIRCHEN,,	1930-01-01,,Operational,Operational,Land (fixed),0-20000-0-11185|primary,Europe,,Austria,47.5111122131,16.0333328247,991,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
