Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,Program/Network approval status,	Last updated date,Last updated by
EL-GOLEA,,	1892-01-01,,Operational,Operational,Land (fixed),0-20000-0-60590|primary,Africa,,Algeria,30.57246,2.86803,397,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,GSN:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
EL-KHEITER,,	1967-01-01,,Silent,Partly operational,Land (fixed),0-20000-0-60540|primary,Africa,,Algeria,34.15444,0.06464,1000,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of high altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Stand-by, RBCN - deprecated:Closed, RBON:Stand-by, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-11-05,Abdelhadi HARROUZ
EL-OUED,,	1964-01-01,,Operational,Operational,Land (fixed),0-20000-0-60559|primary,Africa,,Algeria,33.50618,6.78841,63,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
FADNOUNE,,	2008-04-11,,Operational,Partly operational,Land (fixed),0-20000-0-60662|primary,Africa,,Algeria,25.8166666667,8.1833333333,1291,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2021-09-15,Mohamed Mezred
GARADJEBILET,,	2007-08-19,,Operational,Silent,Land (fixed),0-20000-0-60624|primary,Africa,,Algeria,26.75,-7.25,400,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
GHARDAIA,,	1888-01-01,,Operational,Operational,Land (fixed),0-20000-0-60566|primary,Africa,,Algeria,32.38638,3.78361,466,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
GHAZAOUET,,	1995-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60517|primary,Africa,,Algeria,35.09807,-1.86335,20,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);METAR;RBCN;SEA;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of low altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved",	2021-09-08,Mohamed Mezred
GUELMA,,	1878-01-01,,Operational,Operational,Land (fixed),0-20000-0-60403|primary,Africa,,Algeria,36.45641,7.47944,227,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;METAR;RBCN;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved",	2022-07-27,Abdelhadi HARROUZ
HASSI KHEBBI,,	2007-08-28,,Operational,Silent,Land (fixed),0-20000-0-60593|primary,Africa,,Algeria,29.1666666667,-5.2333333333,565,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
HASSI-MESSAOUD,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-60581|primary,Africa,,Algeria,31.65861,6.14138,140,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
HASSIR'MEL,,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-60563|primary,Africa,,Algeria,32.93416,3.30333,765,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GBON:Approved,GOS General:Approved,RBON:Approved",	2024-10-13,Abdelhadi HARROUZ
ILLIZI,,	1966-01-01,,Operational,Operational,Land (fixed),0-20000-0-60640|primary,Africa,,Algeria,26.71916,8.61722,542,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
IN ATEI,,	2008-07-30,,Operational,Silent,Land (fixed),0-20000-0-60693|primary,Africa,,Algeria,20.5666666667,6.1166666667,471,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
IN AZAOUA,,	2008-07-23,,Operational,Partly operational,Land (fixed),0-20000-0-60694|primary,Africa,,Algeria,20.9666666667,7.45,517,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-02,Abdelhadi HARROUZ
IN AZZANE,,	2007-12-14,,Operational,Silent,Land (fixed),0-20000-0-60676|primary,Africa,,Algeria,23.4833333333,11.2333333333,912,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-09,Abdelhadi HARROUZ
IN GUEZZAM,,	2008-05-07,,Operational,Partly operational,Land (fixed),0-20000-0-60692|primary,Africa,,Algeria,19.5666666667,5.75,401,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2023-05-21,Madjid Aberkane
IN ZIZA,,	2008-06-04,	2016-04-28,Closed,Unknown,Land (fixed),0-20000-0-60633|primary,Africa,,Algeria,23.2166666667,2.5833333333,443,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
IN-AMENAS,,	1963-01-01,,Operational,Operational,Land (fixed),0-20000-0-60611|primary,Africa,,Algeria,28.05294,9.63959,561,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);GSN;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,GSN:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
IN-GUEZZAM,,	1985-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60690|primary,Africa,,Algeria,19.5655,5.75412,400,GPS,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational","CLIMAT(C) - deprecated:Approved,GBON:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved",	2024-10-14,Abdelhadi HARROUZ
IN-SALAH,,	1911-01-01,,Operational,Operational,Land (fixed),0-20000-0-60630|primary,Africa,,Algeria,27.2537,2.51164,268,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(ST);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(ST) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
JIJEL- ACHOUAT,,	1981-01-01,,Operational,Operational,Land (fixed),0-20000-0-60351|primary,Africa,,Algeria,36.79472,5.87722,8,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within rises of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-15,Abdelhadi HARROUZ
JIJEL-PORT,,	1993-01-01,	2020-01-01,Closed,Unknown,Land (fixed),0-20000-0-60353|primary,Africa,,Algeria,36.8166666667,5.8833333333,2,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;M/B;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Closed, RBON:Closed","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2021-06-20,Mohamed Mezred
KHENCHELLA,,	1996-01-01,,Operational,Operational,Land (fixed),0-20000-0-60476|primary,Africa,,Algeria,35.4666666667,7.0833333333,983,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2022-06-16,Mohamed Mezred
KOUBA,,	2008-05-06,,Operational,Partly operational,Land (fixed),0-20000-0-60370|primary,Africa,,Algeria,36.7166666667,3.1,84,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2022-10-10,Mohamed Mezred
KRECHBA,,	2016-11-13,,Operational,Operational,Land (fixed),0-20000-0-60585|primary,Africa,,Algeria,29.07161,2.20815,465.39,GPS,UTC+1,Office National de la Meteorologie Algeria,,,,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of middle altitude,,"GBON:Operational, GOS General:Operational","GBON:Approved,GOS General:Approved",	2024-10-13,SABBA Abdelhadi
KSAR CHELLALA,,	1993-01-01,,Operational,Operational,Land (fixed),0-20000-0-60514|primary,Africa,,Algeria,35.25222,2.29611,800,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved",	2021-09-09,Mohamed Mezred
M'SILA,,	1982-01-01,,Operational,Operational,Land (fixed),0-20000-0-60467|primary,Africa,,Algeria,35.65098,4.49813,441,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;METAR;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2021-09-09,Mohamed Mezred
MAGHNIA,,	1966-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60522|primary,Africa,,Algeria,34.81143,-1.78242,427,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2021-09-09,Mohamed Mezred
MASCARA-GHRISS,,	1983-06-01,,Operational,Operational,Land (fixed),0-20000-0-60507|primary,Africa,,Algeria,35.20666,0.1525,511,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
MATRIOUENE,,	2007-11-17,,Operational,Partly operational,Land (fixed),0-20000-0-60621|primary,Africa,,Algeria,27.8666666667,1.1666666667,390,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2021-09-15,Mohamed Mezred
MECHERIA,,	1882-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60549|primary,Africa,,Algeria,33.54581,-0.23527,1123.2,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of high altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, Non-affiliated:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,Non-affiliated:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-02,Abdelhadi HARROUZ
MEDEA,,	1990-01-01,,Operational,Operational,Land (fixed),0-20000-0-60437|primary,Africa,,Algeria,36.2811,2.73155,1030,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-09,Mohamed Mezred
MERTOUTEK,,	2007-08-25,,Operational,Operational,Land (fixed),0-20000-0-60672|primary,Africa,,Algeria,24.2166666667,5.5333333333,1343,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2021-09-15,Mohamed Mezred
MILA,,	2005-05-01,,Operational,Operational,Land (fixed),0-12-0-43MILCN60407|primary,Africa,,Algeria,36.40082,6.32685,670,GPS,UTC+1,Office National de la Meteorologie Algeria,,,,Warm temperate - Dry and hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,GOS General:Operational,GOS General:Approved,	2023-06-01,Mohamed Mezred
MILIANA,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-60430|primary,Africa,,Algeria,36.30582,2.2284,715,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-09,Mohamed Mezred
MOSTAGANEM,,	1852-01-01,,Operational,Operational,Land (fixed),0-20000-0-60457|primary,Africa,,Algeria,35.91166,0.11027,137,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of low altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-09,Mohamed Mezred
MOULAY LAHCEN,,	2007-09-19,,Operational,Partly operational,Land (fixed),0-20000-0-60663|primary,Africa,,Algeria,24.7166666667,4.65,1054,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2021-09-15,Mohamed Mezred
NAAMA,,	1995-01-01,,Operational,Operational,Land (fixed),0-20000-0-60557|primary,Africa,,Algeria,33.26108,-0.31744,1166,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;METAR;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Steppe - Cold arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of high altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2021-09-09,Mohamed Mezred
ORAN-PORT,,	1880-01-01,,Operational,Operational,Land (fixed),0-20000-0-60461|primary,Africa,,Algeria,35.71055,-0.65305,28,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;M/B;SEA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; State of sea observations.,,Mosaic forest or shrubland (50-70%) / grassland (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2022-07-21,Madjid Aberkane
ORAN-SENIA,,	1975-01-01,,Operational,Operational,Land (fixed),"0-20000-0-60490|primary,0-12-20000-60490",Africa,,Algeria,35.63111,-0.60388,90,GPS,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,99000|1.585,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
OUALLEN,,	2008-06-19,,Operational,Silent,Land (fixed),0-20000-0-60675|primary,Africa,,Algeria,23.4,1,358,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
